127.0.0.1 - - [08/Dec/2022:17:34:41 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:34:42 +0530] "GET /Test/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:34:43 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:34:49 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:34:54 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:35:03 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:36:03 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:38:55 +0530] "GET /Test/register.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:38:55 +0530] "GET /Test/index.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:01 +0530] "GET /Test/register.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:01 +0530] "GET /Test/index.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:06 +0530] "GET /Test/index.jsp HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:06 +0530] "GET /Test/index.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:06 +0530] "GET /Test/index.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:09 +0530] "GET /Test/register.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:09 +0530] "GET /Test/index.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:21 +0530] "GET /Test/UploadContent.jsp HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [08/Dec/2022:17:39:21 +0530] "GET /Test/index.css HTTP/1.1" 404 770
