127.0.0.1 - - [03/Feb/2023:14:17:54 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:22:59 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 3954
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:22:59 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:19 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 5963
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:19 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:19 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:19 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:20 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:39 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:39 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:39 +0530] "GET /Project2/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:39 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:40 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:49 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 5963
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:49 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:49 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:50 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:51 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:53 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:54 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [03/Feb/2023:14:24:54 +0530] "GET /Project2/Bootstrap/fontawesome/fontawesome.css HTTP/1.1" 404 813
