127.0.0.1 - - [26/Dec/2022:17:08:48 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:08:49 +0530] "GET /Test/index.html HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:08:50 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:08:56 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:09:23 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:09:33 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:10:09 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:11:08 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 500 1535
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:14:26 +0530] "GET /Test/UploadF.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:14:38 +0530] "POST /Test/UploadFileServlet HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [26/Dec/2022:17:14:48 +0530] "POST /Test/JdbcReadFile HTTP/1.1" 200 -
