127.0.0.1 - - [10/Mar/2023:13:31:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:31:55 +0530] "GET /Project2/ HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:31:55 +0530] "GET /Project2/Bootstrap/fontawesome/f-icons.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:31:57 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:32:40 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6662
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:38:52 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6662
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:40:13 +0530] "POST /Project2/Register HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:42:00 +0530] "POST /Project2/Register HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:42:21 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:44:07 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6662
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:44:41 +0530] "POST /Project2/Register HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:44:57 +0530] "POST /Project2/stuDashboard.jsp HTTP/1.1" 200 18129
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:44:57 +0530] "GET /Project2/stuDashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:45:45 +0530] "POST /Project2/Msg.jsp HTTP/1.1" 200 7043
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:46:14 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:46:17 +0530] "GET /Project2/adminLogin.jsp HTTP/1.1" 200 4976
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:46:39 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 16267
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:47:45 +0530] "POST /Project2/uploadServlet HTTP/1.1" 200 8824
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:47:54 +0530] "GET /Project2/deleteServlet?deleteFile=UNIT-1-System+Analysis+and+Design.pdf HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:48:03 +0530] "POST /Project2/uploadServlet HTTP/1.1" 200 8813
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:48:07 +0530] "GET /Project2/deleteServlet?deleteFile=UNIT-1-System+Analysis+and+Design.pdf HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:48:46 +0530] "GET /Project2/deleteServlet?deleteFile=chapter+3.pdf HTTP/1.1" 404 906
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:51:02 +0530] "GET /Project2/deleteFile?deleteFile=4Fundamental+Assignment+-4.pdf HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:51:12 +0530] "POST /Project2/adminDashboard.jsp HTTP/1.1" 200 16289
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:52:30 +0530] "POST /Project2/uploadServlet HTTP/1.1" 200 9793
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:59:24 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [10/Mar/2023:13:59:30 +0530] "GET /Project2/register.jsp HTTP/1.1" 200 6662
0:0:0:0:0:0:0:1 - - [10/Mar/2023:14:00:03 +0530] "POST /Project2/Register HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [10/Mar/2023:14:00:12 +0530] "POST /Project2/stuDashboard.jsp HTTP/1.1" 200 8759
0:0:0:0:0:0:0:1 - - [10/Mar/2023:14:00:29 +0530] "POST /Project2/Msg.jsp HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [10/Mar/2023:14:00:36 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 6254
